airline,product_name,route,booking_class,price_increase,rebate_ratio,office,remarks,valid_period,ticket_type,policy_identifier,policy_code
CZ,1、优享飞,（25年调整为 云南进出港）,调整舱位：（P/B/M/H/K/U/A/L/Q/E/V/Z/I/D/C）  PAT A@ZYXKMGJT,150,40,KMG319/KMG279,"PAT:A@01ZYXHAAMD,02EYXKAAMD

南航昆明出港GP客票机场服务通知：(24.5.29)
1.GP或大客户，机场可以免费换登机牌申请；

2.南航GP团队，机场可以免费统一换登机牌和申请专柜：C11-C12；

3.电瓶车服务，重要领导有需求可以提前报备申请； 
                            
 4.南航对应OFFICE号B2B2下单，发送车辆群效验",有效,ALL,*YXKMGJT,*YXKMGJT
CZ,里程/积分加享,南航出最低时候，运价一样的情况下，大家选择这个标识哈：YXSSSMI,,0,,,,,ALL,,
CZ,指定航线里程旅行套餐（适用于3天内航班）,100里程,*YXLAAMB  B/M/H/U/A/L/E/V/Z/T/N,100,45,KMG319/KMG279/CTU152/SZX146,500里程,,ALL,*YXLAAMB,*YXLAAMB
CZ,权益包加享,行李加享,P/B/M/H/K/U/A/L/Q/E/V/Z  *YXLAABD,80,30,KMG319/KMG279/CTU152/SZX146,5KG额外行李额度,,ALL,*YXLAABD,*YXLAABD
CZ,退改加享,变更加享,P/B/M/H/K/U/A/L/Q  *YXKAAGD,150,60,KMG319/KMG279/CTU152/SZX146,在航班预计离站时间前4小时（含）前自愿变更，免收自愿变更费,,ALL,*YXKAAGD,*YXKAAGD
CZ,延误保,航延保障,,150,75,,延误3小时（含）及以上赔付300元,,ALL,,
CZ,行李无忧,托运行李损失及丢失,,160,80,,最高赔付20000元,,ALL,,
CZ,航意航延综合保障,航空意外及医疗,,70,30,,航空意外身故及身残700万，航空意外医疗15万,,ALL,,
CZ,航意航延综合险,"航意保障400万元
航延保障最高600元",,40,20,,,,ALL,,
CZ,7天境内旅行险,保障意外、医疗、个人责任等,,60,30,,,,ALL,,
CZ,托运行李险,"行李损失或丢失最高5000元
行李延误最高1000元",,25,12.5,,,,ALL,,
CZ,"“延误保”
加享产品",1.航意航延保障；2.500里程。,P/B/M/H/K/U/A/L/Q *YXKAAIB,150,60,,,,ALL,*YXKAAIB,*YXKAAIB
CZ,"“行李无忧”
加享产品",1.托运行李保障；2.500里程,P/B/M/H/K/U/A/L/Q *YXKAAIC,160,65,,,,ALL,*YXKAAIC,*YXKAAIC
CZ,“航意航延综合保,航意700万，医疗15万；,P/B/M/H/K/U/A/L/Q *YXKAAID,70,28,,,,ALL,*YXKAAID,*YXKAAID
CZ,障”加享产品,航延2小时起赔，最高赔付600元,,70,28,,,,ALL,,
CZ,里程优惠旅行套餐,出行有里,C/D/I/W/Y/P/B/M/H/K/U/A/L/Q/E/V/Z *YXSSSMJ *YXSSSMK *YXSSSMI,0,0,KMG319/KMG279/CTU152/SZX146,100里程,有效,ALL,*YXSSSMJ,*YXSSSMJ
