航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
FU福州,1、高返政策,所有航线,W舱   标识：GFFC,300,固定值,,,150,,GFFC,BSP/GP,KMG319/KMG279/CTU152,"1.订座舱位：W；
2.产品权益：
⑴免费托运行李额20KG；
⑵免费手提行李7KG；
⑶餐食（计划飞行时间≥1小时40分钟航段提供，部分特殊航段不适用，具体以销售界面提示为准)、饮品； 
⑷经济舱前三排座位；",有效,,
FU福州,1、高返政策,所有航线,W舱   标识：GFFC,400,固定值,,,200,,GFFC,BSP/GP,KMG319/KMG279/CTU152,"1.订座舱位：W；
2.产品权益：
⑴免费托运行李额20KG；
⑵免费手提行李7KG；
⑶餐食（计划飞行时间≥1小时40分钟航段提供，部分特殊航段不适用，具体以销售界面提示为准)、饮品； 
⑷经济舱前三排座位；",有效,,
FU福州,1、高返政策,所有航线,W舱   标识：GFFC,600,固定值,,,300,,GFFC,BSP/GP,KMG319/KMG279/CTU152,"1.订座舱位：W；
2.产品权益：
⑴免费托运行李额20KG；
⑵免费手提行李7KG；
⑶餐食（计划飞行时间≥1小时40分钟航段提供，部分特殊航段不适用，具体以销售界面提示为准)、饮品； 
⑷经济舱前三排座位；",有效,,
FU福州,1、高返政策,所有航线,W舱   标识：GFFC,900,固定值,,,450,,GFFC,BSP/GP,KMG319/KMG279/CTU152,"1.订座舱位：W；
2.产品权益：
⑴免费托运行李额20KG；
⑵免费手提行李7KG；
⑶餐食（计划飞行时间≥1小时40分钟航段提供，部分特殊航段不适用，具体以销售界面提示为准)、饮品； 
⑷经济舱前三排座位；",有效,,
FU福州,1、高返政策,所有航线,W舱   标识：GFFB,200,固定值,,,100,,GFFB,BSP/GP,KMG319/KMG279/CTU152,1.超值经济舱W舱所有权益2.代理人销售此产品，即可获得高返代理费奖励，并鼓励代理人给旅客配属其他额外权益,有效,,
FU福州,1、高返政策,所有航线,经济舱外放舱位:H/K/L/M/X/V/N/Q/A/U/T/Z/Z1/Z2/Z3/Z4                               产品代码：GFFA(标识*+GF180/GF260/GF400/GF600/GF900),100,固定值,,,40,,GFFA,BSP/GP,KMG319/KMG279/CTU152," 代理人销售此产品，即可获得高返代理费奖励，并鼓励代理人给旅客配属其他额外
权益",有效,,
FU福州,高舱高返产品,所有航线,H/K/L/M/X/V/N/A/U/T,150,固定值,,,60,,GFFA,BSP/GP,KMG319/KMG279/CTU152,,有效,,
FU福州,高舱高返产品,所有航线,H/K/L/M/X/V/N/A/U/T,200,固定值,,,100,,GFFA,BSP/GP,KMG319/KMG279/CTU152,,有效,,
FU福州,高舱高返产品,所有航线,H/K/L/M/X/V/N/A/U/T,300,固定值,,,150,,GFFA,BSP/GP,KMG319/KMG279/CTU152,,有效,,
FU福州,高舱高返产品,所有航线,H/K/L/M/X/V/N/A/U/T,400,固定值,,,200,,GFFA,BSP/GP,KMG319/KMG279/CTU152,,有效,,
