航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
GX北部湾,1、商务经济舱,所有线,W舱,380,固定值,,,40,,,BSP,KMG319/KMG279,"1、25KG免费托运行李额，手提行李尺寸20*40*55CM 1件
2、前排座位（A320机型前6排、E190机型前3排）
3、6小时外免变更费改期一次、金鹏会员定级积分、定级航段奖励
4、专属值机柜台、优先行李、头等舱安检通道、头等舱休息室、优先登机（请提示旅客务必前往人工柜台办理值机手续）
5、餐食、饮品、毛毯new（航班日期3月31日起升级）
",有效,,
GX北部湾,2、优享积分,所有航线,"H/K/L/M/X/V/N/Q/A/U/T/Z（含小舱）
可累计积分舱位；V/N/Q/P/A/U/T舱位为不可累计积分舱位，该部分舱位仅可通过购买本产品才可积分）；",120,固定值,,,10,,,BSP,KMG319/KMG279,"1、额外获赠800/1600/2400积分
2、5折以下舱位赠送20KG免费托运行李额
",有效,,
GX北部湾,2、优享积分,所有航线,"H/K/L/M/X/V/N/Q/A/U/T/Z（含小舱）
可累计积分舱位；V/N/Q/P/A/U/T舱位为不可累计积分舱位，该部分舱位仅可通过购买本产品才可积分）；",240,固定值,,,20,,,BSP,KMG319/KMG279,"1、额外获赠800/1600/2400积分
2、5折以下舱位赠送20KG免费托运行李额
",有效,,
GX北部湾,2、优享积分,所有航线,"H/K/L/M/X/V/N/Q/A/U/T/Z（含小舱）
可累计积分舱位；V/N/Q/P/A/U/T舱位为不可累计积分舱位，该部分舱位仅可通过购买本产品才可积分）；",360,固定值,,,30,,,BSP,KMG319/KMG279,"1、额外获赠800/1600/2400积分
2、5折以下舱位赠送20KG免费托运行李额
",有效,,
GX北部湾,3、行李无忧,所有航线,"V/N/Q/A/U/T/Z（含小舱）产品运价代码：XLWY
",90,固定值,,,8,,XLWY,BSP,KMG319/KMG279,五折以下舱位含20KG行李（除精品航线外其他普通航线5折以下无行李，可销售）,有效,,
GX北部湾,4、高舱高返,所有航线（北部湾航空国内自营E190机型航班）,"订E舱                                    1、退改优惠
2、20KG免费托运行李额
",200,固定值,,,100,,,BSP,KMG319/KMG279,CXLA1,有效,,
GX北部湾,4、高舱高返,所有航线（北部湾航空国内自营E190机型航班）,"订E舱                                    1、退改优惠
2、20KG免费托运行李额
",300,固定值,,,150,,,BSP,KMG319/KMG279,CXLB1,有效,,
GX北部湾,4、高舱高返,所有航线（北部湾航空国内自营E190机型航班）,"订E舱                                    1、退改优惠
2、20KG免费托运行李额
",400,固定值,,,200,,,BSP,KMG319/KMG279,CXLC1,有效,,
GX北部湾,4、高舱高返,所有航线（北部湾航空国内自营E190机型航班）,"订E舱                                    1、退改优惠
2、20KG免费托运行李额
",500,固定值,,,250,,,BSP,KMG319/KMG279,CXLD1,有效,,
GX北部湾,4、高舱高返,所有航线（北部湾航空国内自营E190机型航班）,"订E舱                                    1、退改优惠
2、20KG免费托运行李额
",600,固定值,,,300,,,BSP,KMG319/KMG279,CXLE1,有效,,
GX北部湾,5、特惠行李,所有航线,订E舱  产品代码：THXL,90,固定值,,,8,,THXL,BSP,KMG319/KMG279,"五折以下舱位含20KG行李（除精品航线外其他普通航线5折以下无行李，可销售）
",有效,,
GX北部湾,6、尊享经济舱,所有航线,"适用舱位： C舱； 产品运价标识：ZXJJ
",200,固定值,,,50,,ZXJJ,BSP,KMG319/KMG279,"1、25KG免费托运行李额，手提行李尺寸20*40*55CM 1件
2、前排座位（A320机型前6排、E190机型前3排）
3、退改优惠、金鹏会员定级积分、定级航段奖励
4、餐食、饮品、毛毯new（航班日期3月31日起升级）
",有效,,
