航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
PN,空中商务,公务舱（空中商务）,订I舱，产品代码：KZSW,"一档：320-650元
二档：470-800元",固定值,,,"一档：40元
二档：150元",,KZSW,BSP/GP,KMG319/KMG279,"1.公务舱座位
2.公务舱餐饮（各航线食品种类有差异，请以实际提供为准）
3.品质客舱服务（特别赠送精美礼品包：包含16CM飞机模型、腰垫等，礼品包内容时有调整，以实际赠送内容为准）
4.30KG免费托运行李额
5.两件重量在7公斤（含）以内，尺寸不超过20CM×40CM×55CM的手提行李
6.金鹏会员积分（该积分为金鹏会员旅客专享，旅客需在乘机前注册为金鹏会员，否则影响积分累积。在线注册渠道：西部航空、金鹏俱乐部官网/手机端等）
7.特别提示：本产品不享受头等舱休息室、优先登机、优先值机、公务舱安检通道、贵宾摆渡车等地面服务权益
8.本产品儿童票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
9.产品非自愿退改签依照西部航空最新不正常航班管理相关规定执行，具体可详询航司热线95373",有效,,
PN,智选经济舱,智选经济舱（机+空中基础服务）,订舱R，产品代码：CJC,"一档：75-165元
二/三档：280/800元",固定值,,,"一档：15元
二/三档：110/480元",,CJC,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.一件重量7KG内且尺寸不超过20cm*40cm*55cm的非托运行李
3.免费赠送经济舱前三排座位（部分经济舱第2-3排座位空间与后排经济舱相同，具体请以乘机时实际情况为准）
4.金鹏会员积分（该积分为金鹏会员旅客专享，旅客需在乘机前注册为金鹏会员，否则影响积分累积。在线注册渠道：西部航空、金鹏俱乐部官网/手机端等）
5.航空意外险（由航司负责投保，详询航司热线95373）
6.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
7.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,悦享经济舱,悦享经济舱（机+空中尊享服务）,订R舱，产品代码：CJC,"一档：85-195元
二档：290元
三档：800元",固定值,,,"一档：20元
二档：110元
三档：480元",,CJC,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.一件重量7KG内且尺寸不超过20cm*40cm*55cm的非托运行李
3.免费赠送经济舱前三排座位（部分经济舱第2-3排座位空间与后排经济舱相同，具体请以乘机时实际情况为准）
4.机上餐食或小吃、饮品（部分航线仅提供小吃，以实际提供为准）
5.金鹏会员积分（该积分为金鹏会员旅客专享，旅客需在乘机前注册为金鹏会员，否则影响积分累积。在线注册渠道：西部航空、金鹏俱乐部官网/手机端等）
6.航空意外险（由航司负责投保，详询航司热线95373）
7.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
8.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,悦享经济舱,智选经济舱（机+空中+地面尊享服务）,订W舱，产品代码：CJC,"一档：300元
二档：500元
三档：1100元",固定值,,,"一档：40元
二档：200元
三档：660元",,CJC,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2. 一件重量7KG内且尺寸不超过20cm*40cm*55cm的非托运行李
3.免费赠送经济舱前三排座位（部分经济舱第2-3排座位空间与后排经济舱相同，具体请以乘机时实际情况为准）
4.机上餐食或小吃、饮品（部分航线仅提供小吃，以实际提供为准）
5.金鹏会员积分（该积分为金鹏会员旅客专享，旅客需在乘机前注册为金鹏会员，否则影响积分累积。在线注册渠道：西部航空、金鹏俱乐部官网/手机端等）
6.航空意外险（由航司负责投保，详询航司热线95373）
7.始发站头等舱休息室、优先值机、优先登机、优先提取行李（休息室权益需至值机柜台领取贵宾室休息卡或其他同等效用凭证，其他权益均以机场实际保障为准，三亚、宁波、秦皇岛、沈阳暂不提供优先登机服务，宁波、秦皇岛、沈阳暂不提供优先值机服务，长春、沈阳、哈密暂不提供优先行李提取服务）
8.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
9.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,特惠行李,订E舱，产品代码THXL,60-160元,固定值,,,10元,,THXL,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.航空意外险（由航司负责投保，详询航司热线95373）
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,超惠行李,明折明扣舱  产品代码：CHXL,170,固定值,,,50,,CHXL,BSP/GP,KMG319/KMG279,"1.外放舱位基础上增加10KG免费托运行李额：
（1）H/K/L/M/X时30KG
（2）V/N/A/U/T/Z时10KG。
2.托运行李险（由航司负责投保，详询航司热线95373）
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,"超值权益 （机+权益
（高代理费）",明折明扣舱  产品代码：CZQY2,90,固定值,,,50,,CZQY2,BSP/GP,KMG319/KMG279,"1.产品权益随外放舱位，代理可结合自身资源优势提供红包或增值服务权益，不做强制要求。
2.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行
3.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,高舱高返（机+行李+权益（高代理费）,订E舱  产品代码：GCGF  X舱以上无产品运价，X舱以下才有产品价格,220,固定值,,,80,,GCGF,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.代理可结合自身资源优势提供增值服务权益，不做强制要求。
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,高舱高返（机+行李+权益（高代理费）,订E舱  产品代码：GCGF  X舱以上无产品运价，X舱以下才有产品价格,350,固定值,,,175,,GCGF,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.代理可结合自身资源优势提供增值服务权益，不做强制要求。
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,高舱高返（机+行李+权益（高代理费）,订E舱  产品代码：GCGF  X舱以上无产品运价，X舱以下才有产品价格,550,固定值,,,330,,GCGF,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.代理可结合自身资源优势提供增值服务权益，不做强制要求。
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,高舱高返（机+行李+权益（高代理费）,订E舱  产品代码：GCGF  X舱以上无产品运价，X舱以下才有产品价格,750,固定值,,,450,,GCGF,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.代理可结合自身资源优势提供增值服务权益，不做强制要求。
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
PN,普通经济舱,高舱高返（机+行李+权益（高代理费）,订E舱  产品代码：GCGF  X舱以上无产品运价，X舱以下才有产品价格,950,固定值,,,570,,GCGF,BSP/GP,KMG319/KMG279,"1.20KG免费托运行李额
2.代理可结合自身资源优势提供增值服务权益，不做强制要求。
3.儿童产品票价及增值权益与成人相同； 婴儿票价按照各航线现有标准执行，不享受产品对应的附加权益
4.本产品为西部航空经济舱产品，非自愿退改签按照经济舱规则处理，具体可详询航司热线95373",有效,,
